,GenePath Dx CoViDx One v2.1,,,,,,,,,,,,
,,,,,,,,,,,,,
,Date:,,07.02.2024,,,,,,,Run No:-579,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,NTC,4316/1,4318/3,NCBS109/2,,,,,,,,,
B,EX/NTC,4316/2,4319/1,NCBS109/3,,,,,,,,,
C,4314/1,4316/3,4319/2,HIGH,,,,,,,,,
D,4314/2,4317/1,4319/3,Medium,,,,,,,,,
E,4314/3,4317/2,4320/1,Low,,,,,,,,,
F,4315/1,4317/3,4320/2,NTC,,,,,,,,,
G,4315/2,4318/1,4320/3,,,,,,,,,,
H,4315/3,4318/2,NCBS109/1,,,,,,,,,,
,,,,,,,,,,,,,
,Reagent/ Reactions,1,31,,29,,,,,,,,
,MasterMix,9.25,286.75,EXTRA Vol,2,,,,,,,,
,PP Mix,0.75,23.25,,,,,,,,,,
,Total,10,310,,,,,,,,,,
,Sample,5,,,,,,,,,,,
