Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,EXPFAIL,CQCONF,HIGHSD
1,A1,FALSE,NTC,E,NTC,CY5,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,########,TRUE,3,21,No Amp,,0.000,N,N,N
1,A1,FALSE,NTC,HC,NTC,VIC,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,"2,264.032",TRUE,3,17,No Amp,,0.000,N,N,N
1,A1,FALSE,NTC,N,NTC,ROX,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,"8,423.782",TRUE,3,41,No Amp,,0.000,N,N,N
1,A1,FALSE,NTC,rdrp,NTC,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,########,TRUE,3,11,No Amp,,0.000,N,N,N
2,A2,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,33.682,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,25,Amp,,0.940,N,N,Y
2,A2,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,34.390,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,31,Amp,,0.653,N,Y,Y
2,A2,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,32.167,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,24,Amp,,0.958,N,N,Y
2,A2,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,32.926,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,26,Amp,,0.898,N,N,Y
3,A3,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,31,No Amp,,0.000,N,Y,N
3,A3,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,41.806,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,33,No Amp,,0.000,N,Y,Y
3,A3,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,16,No Amp,,0.000,N,Y,N
3,A3,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,23,No Amp,,0.000,N,Y,N
4,A4,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,29,No Amp,,0.000,N,Y,N
4,A4,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,18,No Amp,,0.000,N,Y,N
4,A4,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,8,No Amp,,0.000,N,Y,N
4,A4,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,25,No Amp,,0.000,N,Y,N
